COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
PikeCounty Arkansas 10086 10030 56 0,56 11303 10900 403 3,57 11291 10564 727 6,44 11259 10496 763 6,78
PoinsettCounty Arkansas 24664 24540 124 0,50 25614 25248 366 1,43 24583 24040 543 2,21 24514 23962 552 2,25
PolkCounty Arkansas 17347 17046 301 1,74 20229 19521 708 3,50 20662 19472 1190 5,76 20610 19336 1274 6,18
PopeCounty Arkansas 45883 45460 423 0,92 54469 53346 1123 2,06 61754 57586 4168 6,75 62331 57920 4411 7,08
PrairieCounty Arkansas 9518 9480 38 0,40 9539 9462 77 0,81 8715 8634 81 0,93 8618 8531 87 1,01
PulaskiCounty Arkansas 349660 346461 3199 0,91 361474 352658 8816 2,44 382748 360580 22168 5,79 386299 363152 23147 5,99
RandolphCounty Arkansas 16558 16483 75 0,45 18195 18046 149 0,82 17969 17686 283 1,57 18017 17709 308 1,71
"St FrancisCounty" Arkansas 28497 28295 202 0,71 29329 27898 1431 4,88 28258 27109 1149 4,07 27970 26781 1189 4,25
SalineCounty Arkansas 64183 63805 378 0,59 83529 82439 1090 1,30 107118 103031 4087 3,82 109526 105236 4290 3,92
ScottCounty Arkansas 10205 10163 42 0,41 10996 10368 628 5,71 11233 10451 782 6,96 11272 10478 794 7,04
SearcyCounty Arkansas 7841 7809 32 0,41 8261 8175 86 1,04 8195 8074 121 1,48 8036 7900 136 1,69
SebastianCounty Arkansas 99590 98228 1362 1,37 115071 107361 7710 6,70 125744 110299 15445 12,28 127127 111064 16063 12,64
SevierCounty Arkansas 13637 13005 632 4,63 15757 12650 3107 19,72 17058 11838 5220 30,60 17293 11847 5446 31,49
SharpCounty Arkansas 14109 14052 57 0,40 17119 16952 167 0,98 17264 16974 290 1,68 17380 17060 320 1,84
StoneCounty Arkansas 9775 9733 42 0,43 11499 11375 124 1,08 12394 12237 157 1,27 12603 12413 190 1,51
UnionCounty Arkansas 46719 46497 222 0,48 45629 45109 520 1,14 41639 40179 1460 3,51 41427 39870 1557 3,76
VanBurenCounty Arkansas 14008 13910 98 0,70 16192 15977 215 1,33 17295 16820 475 2,75 17083 16606 477 2,79
WashingtonCounty Arkansas 113409 111883 1526 1,35 157715 144783 12932 8,20 203065 171607 31458 15,49 207521 174694 32827 15,82
WhiteCounty Arkansas 54676 54304 372 0,68 67165 65901 1264 1,88 77076 74197 2879 3,74 78167 75079 3088 3,95
WoodruffCounty Arkansas 9520 9503 17 0,18 8741 8672 69 0,79 7260 7173 87 1,20 7229 7137 92 1,27
YellCounty Arkansas 17759 17582 177 1,00 21139 18448 2691 12,73 22185 17955 4230 19,07 22060 17822 4238 19,21
AlamedaCounty California 1279182 1097377 181805 14,21 1443741 1169831 273910 18,97 1510271 1170382 339889 22,51 1529875 1180499 349376 22,84
AlpineCounty California 1113 1039 74 6,65 1208 1114 94 7,78 1175 1091 84 7,15 1102 1017 85 7,71
AmadorCounty California 30039 27519 2520 8,39 35100 31974 3126 8,91 38091 33335 4756 12,49 37953 33053 4900 12,91
